S.No,Product,PRICE Each,Qt y,Product Specifications,Manufacturer/Brand ,GST
1,Arch Bar,80.64936,20,Pcs,INDIAN,12%
2,Artificial Bone substitutes,2361.6978,10,(0.5 cc)Pcs,FIX-OSS,12%
3,Base Plate,194.8353,5,Boxes,PYREX,18%
4,Bite Registration Paste,3141.6,2,Boxes,"AvueBite (2 x
50ml) DA0505",12%
5,Broach,187.0935,2,Packs,MANI,12%
6,Sodium hypochlorite 3% ,353.5422,10,(500ml)L,SEPTODO NT,18%
7,Cold Cure Acrylic Liquid and Powder ,741.9225,5, (400gm powder/liquid)Packs,PYREX,18%
8,Developer ,179.52,10, (500ml )L,Samit,12%
9,"Radiopaque calcium Hydroxide (base 13gm,
catalyst 11gms)",2244,4," (base 13gm,
catalyst 11gms)  Packs",Densply,12%
10,Root canal sealer Safe Endo,2019.6,4,Pcs,SAFE ENDO,12%
11,Root canal sealer BIO CERAMIC RCS,2880.1289,4,Packs,SAFE ENDO,12%
12,Eugenol ,765.1479,1, (110 gm)Bottle,DPI,18%
13,Fixer ,179.52,12, (500ml ) L,Samit,12%
14,Denture adhesive Powder,60.00456,10,Packs,ICPA,12%
15,GIC Filling ,1476.1032,5,(15 gm powr/8ml liquid)  Packs,shofu,12%
16,"GIC Filling 
KETAC MOLOR",2294.1534,5,(15 gm powder / 8g liquid) TYPE 1  (Packs),3M,12%
17,"GIC Luting 
KETAC CEM",3341.877,5, (33 gm powder / 12ML liquid)Packs,3M,12%
18,Impression Compound cakes,157.4166,10,,DPI,18%
19,"Impression Material Alginate dust free
NEOALGINE",325.38,40, (450g),ORIKEM,18%
20,Impression Material ZnOE,467.0886,10," (125g Zoe + 85g
eugenol)",DPI,18%
21,Modelling Wax,141.933,5, (12 sheets per pack),PYREX,18%
22,Occlusal Film,4712.4,2,(Pack of 25),Carestrea m,12%
23,Plugger  assorted,348.381,2, 15-40,MANI,12%
24,Polishing Paste ,159.9972,2, (100g),DPI,12%
25,Poly Carboxylate,617.1,2,,PREVEST,12%
26,Spreader assorted,348.381,4,15-40,MANI,12%
27,Temporary filling material  ORAFIL G,184.5129,10,(40g),PREVEST,12%
28,Varnish ,201.96,1, (10 ml),PREVEST,12%
29,Vaseline,302.94,1,,,18%
30,Articulating Paper ,50.49,50, (12 sheets pack),MARC,18%
31,Auto Matrix Starter kit,39270,1,,Densply,12%
32,Burs assorted for contra angle handpiece ,258.06,20,"(
Round taper Fissure,Inverted cone)",,12%
33,Composite Finishing and Polishing Kit,1858.032,2,,SHOFU,12%
34,"Composite kit with etchant and bonding agent FILTEK Z350 BOND
UNIVERSAL",15708,2,4GM*4SYR+1 FLOW +1 3ML (Kit),3M,12%
35,Composite syringes individual,3478.2,5,,3M,12%
36,Crown and bridge preparation kit DIATECH,5497.8,2,,COLTENE,12%
37,"Pa DENTAL IOPA XRAY FILM
PEDO",4488,1, Pack Of 100,Carestrea m,12%
38,Dental IOPA X-ray Film Adult ,3702.6,10," (E speed) ( Pack
of 50) ",Carestrea m,12%
39,Dental Stone ,370.26,7,(3 KG PACK),KALABHAI,5%
40,Diamond Burs – For airotor handpiece – assorted P/5,258.06,50,,SICHER/M ANI,12%
41,Calcium hydroxide root canal medicament (2g),168.3,200, (2g),Dental Avenue,12%
42,Die stone (1 kg),614.1828,5,(1 kg),KALABHAI,5%
43,Disposable Dental Suction Tips (100 tips),190.74,5,(100 tips),Local,12%
44,Flexi File ,1116.1095,15,15–40 K FILE,DENTSPLY,12%
45,G.P. Point,253.44858,1,25–45 (Each set),META,12%
46,G.P. Point ,253.44858,10,15–80 assorted sets,META,12%
47,PARACORE KIT,15147,1,,COLTENE,12%
48,FIBER POST KIT CHINESE,748.83402,2,,CHINESE,12
49,H File 1,311.87112,10,"10,15–40 (21mm)",DENTSPLY,12%
50,H-File set assorted ,253.43736,10,15-40 and 45-80 (21mm),mani,12%
51,K file set ,311.05206,4," 6,10,15-45 ONLY RIFFLE",DENTSPLY,12%
52,K-File set assorted,391.70142,20," (15-40 & 45-
80)",DENTSPLY,12%
53,Matrix Band No.1 Pack of 12,40.0554,100,,,12%
54,Matrix band No.8,40.0554,100,,,12%
55,Mylar strip ,345.8004,5," (8mm, 100 strips pack)",Yesdent/l ocal,12%
56,Polishing Brush and Cup,1234.2,1,,oro,12%
57,Protaper – Hand assorted ,3927,10,21 mm,DENTSPLY,12%
58,Protaper – Hand assorted ,3927,2,25 mm,MANI,12%
59,Reamer Set assorted Sets,280.5,3,,STAR BUR,12%
60,"Surgical burs for straight micromotor
handpiece  each",280.5,50,"( Round - 8,10) Straight Fissure 701,702 Tapered Fissure",PRESTOR OCK,12%
61,Teeth set  each,246.84,10,,,5%
62,Wire  ,34.5576,5,24,,12%
63,Wire ,34.5576,5,26,META,12%
64,Paper point ,253.44858,5, 15-45- each set,Meta,12%
65,Paper popint,253.44858,5, 25-45 each set,,12%
66,Plaster of paris,49.1436,20, (1 kg),DPI,5%
67,Zinc Oxide powder,145.86,1, (110 g),DPI,18%
68,Green stick ,218.79,20,(10 sticks pack),VOCO,18%
69,Adhesive Resin Cement  MERON`,5273.4,1,(9g) ,ORO,12%
70,Applicator tips for bonding agent,172.9002,1,,MAARC,12%
71,Pulp Devitalizer,689.0202,500,(3g syringe),VOCO,18%
72,Pit and Fissure Sealant FISSUREIT F,4270.893,1,,SAFE ENDO,12%
73,Dental Endodontic EDTA ,172.77678,1,(3g syringe),SAFE ENDO,12%
74,GP Solvent,342.5466,2,(15 ml),PREVEST,12%
75,Zinc Phosphate cement,403.22436,2,,ZODENTA,12%
76,Cotton Rolls for Isolation,403.22436,15,"(10mm, 1000 rolls)",meta,12%
77,Protaper GP assorted ,673.2,1,pack of 60,meta`,12%
78,Protaper GP,673.2,6," (F1,F2,F3)",Sureendo,12%
79,Retraction Cord,1570.8,2,,Mailyard/ Chin ese,12%
80,Post and Core Fibre post assorted,729.3,8,,DENTSPLY,12%
81,Endoaccess Bur,632.247,10,,DENTSPLY,12%
82,Endo Z bur,748.374,10,,MANI,12%
83,"G.G. Drill no.2,3,4",504.5073,1,,denmax,12%
84,Mixing pad,89.76,10,,PREVEST,12%
85,Etchant gel 37% Phosphoric acid Gel ,691.23054,4," 3 ML*4
SYR",COLTENE,12%
86,Dentin Bonding agent UNIVERSAL,4032.1875,5,5ML,ZODENTA,12%
87,Wedges ,247.7376,2,(wooden),,12%
88,Peeso reamer assorted ,504.5073,2,(1-6),PREVEST,12%
89,Calcium Hydroxide powder,54.978,3,,ZODENTA,12%
90,Chlorhexidine,382.7142,1,,ORO,18%
91,Oro Self Sealing Sterilization Pouches - ,1234.2,1,"5.25"" x
11"" (134 x 283mm)",GMD,12%
92,HYDROGEN PERIOXIDE ,89.76,10,400ml,,12%
