S.No ,Name of The Product,Product Specification,Manufacture,Qty,Price,GST
1,ASPIRATION SET,,Dolp,1,2835.525,12%
2,DRESSING SET,,Dolp,1,2050.125,12%
3,SUTURING SET,,Dolp,1,10158.225,12%
4,SUTURE REMOVAL SET,,Dolp,1,1819.125,12%
5,EPIDURAL SET,,Dolp,1,2200.275,12%
6,LOOP REMOVAL SET,,Dolp,1,12202.575,12%
7,HSG / FTR PROCEDURE SET,,Dolp,1,16493.4,12%
8,CUTDOWN SET,,Dolp,1,14755.125,12%
9,I & D SET,,Dolp,1,6750.975,12%
10,ICD SET,,Dolp,1,9736.65,12%
11,CATHETERIZATION SET,,Dolp,1,3112.725,12%
12,C. V. P. SET,,Dolp,1,4851,12%
13,BONE MARROW SET,,Dolp,1,1905.75,12%
14,ENT SET,,Dolp,1,31081.05,12%
15,GENERAL BASIC SETĀ,,Dolp,1,44629.2,12%
16,GENERAL MINOR SET,,Goldn,1,23717.925,12%
17,LAPAROTOMY SET,,Dolp,1,76328.175,12%
18,LAPAROSCOPY SETĀ,,Vaihnav,1,20801.55,12%
19,TRACHEOSTOMY SET,,Dolp,1,38005.275,12%
20,BONE INSTRUMENTS SET,,Goldn,1,49838.25,12%
21,APPENDICECTOMY SET,,Dolp,1,61573.05,12%
22,AMPUTATION SET,,Dolp,1,65095.8,12%
23,GASTRO BASIC SET,,Dolp,1,58939.65,12%
24,UROLOGY BASIC SET,,Vaihnav,1,45478.125,12%
25,CERVICAL BIOPSY SET,,Dolp,1,3112.725,12%
26,I U IĀ SET,,Dolp,1,5082,12%
27,COPPER 'T' INSERTION SET,,Goldn,1,3961.65,12%
28,COPPER 'T' REMOVAL SET,,Goldn,1,3239.775,12%
29,HSGĀ SET,,Dolp,1,9933,12%
30,ABDOMINAL HYSTERECTOMY SET,,Goldn,1,9933,12%
31,VAGINAL HYSTERECTOMY SET,,Goldn,1,24052.875,12%
32,L S C SĀ SET,,Dolp,1,75981.675,12%
33,TUBECTOMY SET,,Dolp,1,31288.95,12%
34,D& C SET,,Goldn,1,6439.125,12%
35,PAEDIATRIC CIRCUMSCISION SET,,Vaihnav,1,10614.45,12%
36,PAEDIATRIC CUTDOWN SET,,Goldn,1,6854.925,12%
37,I & D SET,,Dolp,1,8627.85,12%
38,L P SET,,Dolp,1,1865.325,12%
39,CATHETERIZATION SET,,Goldn,1,2396.625,12%
40,LAPARASCOPY SET,,Dolp,1,20801.55,12%
41,NORMAL DELIVERY SET,,Dolp,1,2050.125,12%
42,P. V. SET,,Dolp,1,2125.2,12%
43,BABY TRAY SET,,Dolp,1,1975.05,12%
44,MAJORĀ SET,,Dolp,1,131219.55,12%
45,MINORĀ SET,,Goldn,1,23717.925,12%
46,HAND SURGERY SET,,Goldn,1,5209.05,12%
47, BONE HOLDING SET,3.5MM ,Dolp,1,60943.575,12%
48, BONE HOLDING SET,4.5MM ,Dolp,1,67538.625,12%
49,AMPUTATIONĀ SET,,Goldn,1,44479.05,12%
50,TKRĀ ANDĀ THRĀ INSTRUMENTSĀ SETĀ -Ā A,,Dolp,1,66268.125,12%
51,TKRĀ ANDĀ THRĀ INSTRUMENTSĀ SETĀ -Ā B,,Dolp,1,25150.125,12%
52,THRĀ SEPARATEĀ PACK,,Dolp,1,6519.975,12%
